ID,Nazwa_produktu,Kategoria,Cena,Ilosc_w_magazynie,Producent,Data_dodania,Ocena,Kraj_pochodzenia,Status_dostepnosci
1,Laptop Dell XPS 15,Elektronika,5499.00,12,Dell,2023-01-15,4.5,USA,Dostepny
2,Mysz Logitech MX Master,Elektronika,349.00,45,Logitech,2023-02-20,4.8,Szwajcaria,Dostepny
3,Klawiatura Corsair K95,Elektronika,799.00,23,Corsair,2023-01-30,4.6,USA,Dostepny
4,Monitor Samsung 27,Elektronika,1299.00,8,Samsung,2023-03-10,4.7,Korea,Dostepny
5,Słuchawki Sony WH-1000XM4,Elektronika,1199.00,34,Sony,2023-02-05,4.9,Japonia,Dostepny
6,Koszulka Nike Dri-FIT,Odziez,129.00,156,Nike,2023-04-12,4.2,Wietnam,Dostepny
7,Spodnie Adidas Tiro,Odziez,199.00,89,Adidas,2023-03-25,4.3,Chiny,Dostepny
8,Buty Puma RS-X,Odziez,449.00,67,Puma,2023-05-08,4.4,Indonezja,Dostepny
9,Kurtka Columbia Omni-Heat,Odziez,899.00,23,Columbia,2023-02-18,4.6,USA,Dostepny
10,Czapka The North Face,Odziez,149.00,112,The North Face,2023-06-01,4.1,Bangladesz,Dostepny
11,Kawa Lavazza Qualita Oro,Zywnosc,45.00,234,Lavazza,2023-01-20,4.7,Włochy,Dostepny
12,Herbata Twinings Earl Grey,Zywnosc,28.00,178,Twinings,2023-02-14,4.5,Wielka Brytania,Dostepny
13,Czekolada Lindt Excellence,Zywnosc,15.00,456,Lindt,2023-03-08,4.8,Szwajcaria,Dostepny
14,Chipsy Lay's Papryka,Zywnosc,8.00,567,Lay's,2023-04-22,4.0,Polska,Dostepny
15,Sok Tymbark Pomarańcza,Zywnosc,6.00,789,Tymbark,2023-05-15,4.2,Polska,Dostepny
16,Tablet Apple iPad Pro,Elektronika,4999.00,15,Apple,2023-01-12,4.9,USA,Dostepny
17,Smartfon Samsung Galaxy S23,Elektronika,3999.00,28,Samsung,2023-02-28,4.7,Korea,Dostepny
18,Smartwatch Garmin Fenix,Elektronika,2499.00,19,Garmin,2023-03-15,4.6,USA,Dostepny
19,Drukarka HP LaserJet,Elektronika,1899.00,11,HP,2023-04-05,4.4,Chiny,Dostepny
20,Router TP-Link Archer,Elektronika,399.00,67,TP-Link,2023-05-20,4.3,Chiny,Dostepny
21,Płyta główna ASUS ROG,Elektronika,1599.00,14,ASUS,2023-01-25,4.8,Tajwan,Dostepny
22,Karta graficzna NVIDIA RTX,Elektronika,3499.00,6,NVIDIA,2023-02-10,4.9,USA,Brak
23,Procesor AMD Ryzen 9,Elektronika,2299.00,22,AMD,2023-03-20,4.7,USA,Dostepny
24,Dysk SSD Samsung 1TB,Elektronika,499.00,89,Samsung,2023-04-15,4.6,Korea,Dostepny
25,Zasilacz Corsair 850W,Elektronika,699.00,34,Corsair,2023-05-10,4.5,USA,Dostepny
26,Bluza Levi's Logo,Odziez,259.00,145,Levi's,2023-01-18,4.3,Meksyk,Dostepny
27,Jeansy Wrangler Texas,Odziez,299.00,98,Wrangler,2023-02-22,4.4,Turcja,Dostepny
28,Koszula Tommy Hilfiger,Odziez,349.00,76,Tommy Hilfiger,2023-03-12,4.5,Indie,Dostepny
29,Sukienka Zara Floral,Odziez,199.00,134,Zara,2023-04-28,4.2,Hiszpania,Dostepny
30,Płaszcz Burberry Classic,Odziez,2999.00,8,Burberry,2023-05-05,4.8,Włochy,Dostepny
31,Mąka Tortowa Polskie Młyny,Zywnosc,12.00,456,Polskie Młyny,2023-01-22,4.4,Polska,Dostepny
32,Cukier Biały Südzucker,Zywnosc,8.00,678,Südzucker,2023-02-16,4.1,Niemcy,Dostepny
33,Masło Mlekovita Extra,Zywnosc,18.00,234,Mlekovita,2023-03-10,4.6,Polska,Dostepny
34,Ser Gouda Hochland,Zywnosc,22.00,189,Hochland,2023-04-20,4.5,Polska,Dostepny
35,Jogurt Danone Activia,Zywnosc,5.00,567,Danone,2023-05-12,4.3,Francja,Dostepny
36,Laptop Lenovo ThinkPad,Elektronika,4299.00,18,Lenovo,2023-01-28,4.6,Chiny,Dostepny
37,Kamera Canon EOS R6,Elektronika,11999.00,7,Canon,2023-02-12,4.9,Japonia,Dostepny
38,Obiektyw Nikon 24-70mm,Elektronika,4599.00,9,Nikon,2023-03-18,4.8,Japonia,Dostepny
39,Statyw Manfrotto MT055,Elektronika,799.00,23,Manfrotto,2023-04-25,4.5,Włochy,Dostepny
40,Lampa LED Godox SL60,Elektronika,899.00,15,Godox,2023-05-30,4.4,Chiny,Dostepny
41,Konsola PlayStation 5,Elektronika,2499.00,12,Sony,2023-01-10,4.9,Japonia,Brak
42,Konsola Xbox Series X,Elektronika,2299.00,14,Microsoft,2023-02-08,4.8,USA,Dostepny
43,Kontroler DualSense,Elektronika,299.00,67,Sony,2023-03-14,4.7,Japonia,Dostepny
44,Gra FIFA 24,Elektronika,299.00,123,EA Sports,2023-04-18,4.3,USA,Dostepny
45,Gra Cyberpunk 2077,Elektronika,199.00,89,CD Projekt,2023-05-22,4.2,Polska,Dostepny
46,Rękawiczki Columbia,Odziez,99.00,178,Columbia,2023-01-16,4.2,USA,Dostepny
47,Szalik CMP Fleece,Odziez,79.00,234,CMP,2023-02-20,4.0,Włochy,Dostepny
48,Skarpety Nike Elite,Odziez,49.00,456,Nike,2023-03-16,4.1,Wietnam,Dostepny
49,Pasek Levi's Leather,Odziez,129.00,123,Levi's,2023-04-10,4.3,Indie,Dostepny
50,Portfel Tommy Hilfiger,Odziez,249.00,89,Tommy Hilfiger,2023-05-14,4.4,Chiny,Dostepny
51,Woda Mineralna Żywiec,Zywnosc,3.00,1234,Żywiec Zdrój,2023-01-24,4.3,Polska,Dostepny
52,Piwo Tyskie Gronie,Zywnosc,5.00,890,Tyskie,2023-02-18,4.2,Polska,Dostepny
53,Wino Chianti Classico,Zywnosc,89.00,67,Antinori,2023-03-22,4.7,Włochy,Dostepny
54,Whisky Johnnie Walker,Zywnosc,149.00,45,Johnnie Walker,2023-04-26,4.6,Szkocja,Dostepny
55,Wódka Żubrówka Biała,Zywnosc,45.00,123,Żubrówka,2023-05-28,4.4,Polska,Dostepny
56,Mikrofon Blue Yeti,Elektronika,599.00,34,Blue,2023-01-14,4.7,USA,Dostepny
57,Kamera Logitech C920,Elektronika,449.00,56,Logitech,2023-02-24,4.6,Szwajcaria,Dostepny
58,Głośnik JBL Flip 6,Elektronika,499.00,78,JBL,2023-03-28,4.5,USA,Dostepny
59,Powerbank Anker 20000mAh,Elektronika,199.00,134,Anker,2023-04-30,4.4,Chiny,Dostepny
60,Ładowarka Belkin USB-C,Elektronika,149.00,167,Belkin,2023-06-02,4.3,USA,Dostepny
61,Telefon iPhone 15 Pro,Elektronika,5999.00,9,Apple,2023-01-08,4.9,USA,Dostepny
62,Telefon Xiaomi 13,Elektronika,2999.00,23,Xiaomi,2023-02-06,4.6,Chiny,Dostepny
63,Telefon OnePlus 11,Elektronika,3299.00,17,OnePlus,2023-03-04,4.7,Chiny,Dostepny
64,Etui Spigen Tough Armor,Elektronika,89.00,234,Spigen,2023-04-08,4.4,Korea,Dostepny
65,Szkło Ochronne Ringke,Elektronika,49.00,345,Ringke,2023-05-06,4.2,Korea,Dostepny
66,Bluza H&M Basic,Odziez,89.00,267,H&M,2023-01-20,3.9,Bangladesz,Dostepny
67,T-shirt Reserved Print,Odziez,59.00,345,Reserved,2023-02-26,4.0,Polska,Dostepny
